match_type,pattern,primary_genre,genres,priority,notes,genre_status
lead_artist_id,0gTqi1zdqD9s6islG2wLKC,progressive rock,progressive rock; atmospheric rock,200,2026-09-22 audit: Airbag / * | https://www.karismarecords.no/blog/prog-rock-sales-campaign/,
lead_artist_id,5b4d1sad2FNXIOYef3vTDg,death-doom metal,death-doom metal; funeral doom metal; melodic doom metal,200,2026-09-22 audit: Clouds / * | https://cloudsofficial.bandcamp.com/album/doliu-2,
track_id,09uVTKAKTHnLKDZHfwfLTI,drone metal,drone metal; psychedelic rock,300,2026-09-22 audit: Earth / Live at Third Man | https://earthseattle.com/earth-live-at-third-man-records-2017,
track_id,7zYsOalHgRYxUpUsCVpjKI,psychedelic rock,psychedelic rock; doom metal; heavy psych,300,2026-09-22 audit: Black Lung / Dark Waves | https://blacklungband.bandcamp.com/album/dark-waves,
track_id,3VcAiUnvhm8yEDO9A6mE9m,post-hardcore,post-hardcore; post-metal; punk rock,300,2026-09-22 audit: Brutus / Nest | https://www.sargenthouse.com/news/blog/6031534/brutus,
lead_artist_id,18MzhLZN3Xr2Y0wRuuYb8X,stoner rock,stoner rock; heavy psych; space rock,200,"2026-09-22 audit: I, Captain / * | https://icaptain.bandcamp.com/album/kemisk-v-lf-rd",
track_id,4PcLtqyPyV4Lyah8HKXKuR,heavy metal,heavy metal; black metal,300,2026-09-22 audit: I / Between Two Worlds | https://www.metal-archives.com/albums/I/Between_Two_Worlds/413751,
track_id,4XjblkFClZyRUiHrFD2HgM,psychedelic rock,psychedelic rock,300,2026-09-22 audit: Art / The Island Years | https://open.spotify.com/artist/6roGjVKhwDsDJLF1XFGD9w,
track_id,2F5Vve3LbM699FQOls04OP,heavy metal,heavy metal; progressive rock,300,2026-09-22 audit: Legend / From the Fjords | https://www.metalcrypt.com/reviews/2922/legend-us-from-the-fjords-review,
lead_artist_id,64vNIhiqTanqaY1VJucSAS,progressive rock,progressive rock; jazz fusion,200,2026-09-22 audit: U.K. / * | https://music.apple.com/us/album/u-k/724148107,
track_id,1FTw1aQ2yVuDjaAh9QLl6d,doom metal,doom metal,300,2026-09-22 audit: Warning / Watching from a Distance | https://warningdoom.bandcamp.com/album/watching-from-a-distance,
track_id,1nkKAfNfirdm8PJoziYCDz,dark electronica,dark electronica; experimental,300,"2026-09-22 audit: Thief / Bleed, Memory | https://thief-official.bandcamp.com/track/bleed-memory-2",
track_id,2HG2X7OlaNW25C8Ii1qovT,dark electronica,dark electronica; experimental,300,"2026-09-22 audit: Thief / Bleed, Memory | https://thief-official.bandcamp.com/track/bleed-memory-2",
lead_artist_id,6H8YKAQ8UXrcsK4ORs1qOq,progressive doom metal,progressive doom metal; post-metal; stoner metal,200,2026-09-22 audit: Alkymist / * | https://alkymist.bandcamp.com/album/unnderr,
track_id,32B4DCTnt8bBJWeLJzseCM,darkwave,darkwave; synth-punk; dark pop,300,2026-09-22 audit: Kælan Mikla / Undir Köldum | https://kaelanmikla.bandcamp.com/music,
track_id,3cHTq4lFccHLfeAOmTsF56,sludge metal,sludge metal; doom metal; alternative rock,300,2026-09-22 audit: Thou / May Our Chambers Be Full | https://thou.bandcamp.com/album/may-our-chambers-be-full,
track_id,7hoaK7WIFRhMfgbRoWyGo7,sludge metal,sludge metal; doom metal; alternative rock,300,2026-09-22 audit: Thou / Hollywood | https://thou.bandcamp.com/album/may-our-chambers-be-full,
track_id,1GIhB8rXkcjYtvOtgm5LtL,experimental rock,experimental rock; jazz rock; stoner rock,300,2026-09-22 audit: Fused Trio / Cotton Curd Candy | https://fusedtrio.bandcamp.com/album/cotton-curd-candy,
track_id,25Q2WPmAYFgC2dgLqfCvt5,dark ambient,dark ambient; drone,300,2026-09-22 audit: N / Birka | https://www.dronerecords.de/download/DRONEREC_FULLSTOCK_A-Z-10.2018.pdf,
track_id,4wgDHxplr4mf2Mh703U3Ky,heavy metal,heavy metal,300,2026-09-22 audit: Randy / Shadows Are Falling | https://www.eatmetalrecords.com/shop/product_info.php?products_id=30826,
track_id,2EZRzPydf4N1ju7DSZXG7i,doom metal,doom metal; heavy metal,300,2026-09-22 audit: Mercy / King Doom | https://nuclearwarnowproductions.bandcamp.com/album/witchburner,
track_id,0PkOxGLjcZhk5BARQJGUEa,psychedelic rock,psychedelic rock; stoner rock; doom metal; folk,300,2026-09-22 audit: TOŃ / Wdech | https://wszyscytoniemy.bandcamp.com/track/wdech-wydech,
track_id,0RKoB6qynVFb3qFYYualk5,psychedelic rock,psychedelic rock; stoner rock; doom metal; folk,300,2026-09-22 audit: TOŃ / Wdech | https://wszyscytoniemy.bandcamp.com/track/wdech-wydech,
track_id,2G6kWqULGBMqGdpTUc5FQ4,folk,folk; electronic; experimental,300,2026-09-22 audit: Комонь / Из-за лесу | https://www.qobuz.com/us-en/album/-/awdm6bq8qvzu9,
track_id,4bL8poSHJGxHCTnrWqTmRb,folk,folk; electronic; experimental,300,2026-09-22 audit: Комонь / Из-за лесу | https://www.qobuz.com/us-en/album/-/awdm6bq8qvzu9,
track_id,5qrxwp3kZfVwvijNAn0O73,progressive rock,progressive rock; progressive metal; psychedelic rock,300,2026-09-22 audit: Dark Suns / Everchild | https://dark-suns.bandcamp.com/album/everchild,
track_id,1cSWc2kX4z39L5uFdGcjFP,atmospheric rock,atmospheric rock; progressive rock; trip hop,300,2026-09-22 audit: The Gathering / How to Measure a Planet | https://centurymedia.bandcamp.com/album/how-to-measure-a-planet-deluxe-edition,
lead_artist_id,78g6smnwV3vOv8woRJAvQT,progressive rock,progressive rock,200,2026-09-22 audit: Advent Horizon / * | https://adventhorizon.bandcamp.com/music,
lead_artist_id,5AcMFeCeyficrfgd11i258,atmospheric black metal,atmospheric black metal; raw black metal; dungeon synth,200,2026-09-22 audit: Aftoktonia / * | https://aftoktonia.bandcamp.com/album/through-nebulae-of-the-empyrean-aether,
track_id,3L41mK3ctZjjvG0EV4QonL,progressive breaks,progressive breaks; breakbeat; electronic,300,2026-09-22 audit: Amalomu / Solar Drift | https://amalomu.bandcamp.com/album/solar-drift,
lead_artist_id,56TXBqxg34LL3EqFqwS3EX,dark ambient,dark ambient; industrial ambient,200,2026-09-22 audit: Desiderii Marginis / * | https://desiderii.bandcamp.com/album/procession,
lead_artist_id,6e8ISIsI7UQZPyEorefAhK,symphonic black metal,symphonic black metal,200,2026-09-22 audit: Dimmu Borgir / * | https://www.nuclearblast.com/pages/dimmu-borgir,
track_id,0YY8l8V0lZmlOlCItEaa7o,heavy metal,heavy metal,300,2026-09-22 audit: Facing Fear / Burnout | https://heavymetalonline.com.br/facing-fear-escancara-a-exaustao-das-ruas-no-novo-single-burnout/,
track_id,4s0DbR4wt8AadGDlQbPepm,heavy metal,heavy metal; power metal; thrash metal,300,2026-09-22 audit: Iced Earth / The Dark Saga | https://icedearth.com/albums/the-dark-saga/,
track_id,3AxT0zo6lNVrpM3OfiEagr,ambient,ambient,300,2026-09-22 audit: JYRANTE / Sleeping With The Stars | https://music.apple.com/us/artist/jyrante/1803632756,
track_id,3YTA4Y3qWmPEauQ5MIbbKJ,ambient,ambient,300,2026-09-22 audit: JYRANTE / Below The Surface | https://music.apple.com/us/album/below-the-surface-ep/6769029681,
lead_artist_id,0CQRSCmHE64huljQ84y04l,heavy metal,heavy metal,200,2026-09-22 audit: Kerrigan / * | https://kerriganheavymetal.bandcamp.com/album/bloodmoon,
lead_artist_id,5EfO063u0RoH2Bz9kbsPzO,post-metal,post-metal; progressive metal; post-rock,200,2026-09-22 audit: Múr / * | https://murofficialband.bandcamp.com/track/m-r,
lead_artist_id,5uSY4FF3dZMCVSkZslKCHi,hard rock,hard rock; heavy metal,200,2026-09-22 audit: Michael Schenker Group / * | https://en.wikipedia.org/wiki/Michael_Schenker_Group,
track_id,2pq2AZD8SRHGiizeU5F2dj,speed metal,speed metal; blackened heavy metal,300,2026-09-22 audit: Torpor / Armoured Skeleton | https://dyingvictimsproductions.bandcamp.com/album/ungeon-escent,
track_id,6A8OuzYyWXkEX8NSKpxdA6,psychedelic rock,psychedelic rock; heavy psych; stoner rock,300,2026-09-22 audit: The Tower / Hic Abundant Leones | https://thetowercult.bandcamp.com/album/hic-abundant-leones,
lead_artist_id,2valAzrV6xeHL0weVnIAp8,dark folk,dark folk; neofolk,200,2026-09-22 audit: Wolcensmen / * | https://wolcensmen.bandcamp.com/album/fire-in-the-white-stone,
lead_artist_id,5BRYgBsgRLxSlO3xqDfjei,metal,metal,200,2026-09-22 audit: Zeromind / * | https://www.zeromindmusic.com/,
track_id,3PW3xh6bSuKY0Pn3l7Kvxt,speed metal,speed metal; heavy metal,300,2026-09-22 audit: Ranger / Speed & Violence | https://deadrhetoric.com/reviews/ranger-speed-violence-spinefarm/,
track_id,3URDRmbYUolxE7oRaKCO0i,indie folk,indie folk; indie rock,300,2026-09-22 audit: Westhead / And Just Like That | https://westhead.bandcamp.com/album/and-just-like-that-2,
track_id,6Yxs4fI4s2i75VbBcMxHyr,acoustic rock,acoustic rock; alternative rock; comedy rock,300,2026-09-22 audit: Anthony Kapfer / Cats Using Toilets | https://anthonykapfer.bandcamp.com/album/cats-using-toilets,
track_id,4QXPuYRElPzO9UipjIfBfQ,trip-hop,trip-hop; electronic; synthpop,300,2026-09-22 audit: Linda / Песни тибетских лам | https://lindamuzik.bandcamp.com/album/--2,
track_id,0TOLxJTPhAkvqg9GfnjstG,new age,new age,300,2026-09-22 audit: Albert Wenmo / Mineral | https://music.apple.com/us/album/ave-adagio-single/1841311270 (broad artist style; Mineral-specific subgenre remains unverified),
track_id,5tHch2cB9kCw71HuFqCMJm,acoustic rock,acoustic rock,300,2026-09-22 audit: Marc Giugni / M&M Acoustic Band live at Kompass Pub | https://music.amazon.co.uk/artists/B00MO2P6RY/marc-giugni (broad style inferred from acoustic cover repertoire),
track_id,3lh79sOeXM7PNgV318Bruc,folk,folk; contemporary folk,300,2026-09-22 audit: Pete Seeger / Rainbow Race | https://folklife.si.edu/legacy-honorees/pete-seeger/smithsonian,
track_id,3VDOfj5wim52SCywY2sCA8,psychedelic rock,psychedelic rock; garage rock; hard rock,300,2026-09-22 audit: Roky Erickson / The Evil One | https://en.wikipedia.org/wiki/The_Evil_One,
track_id,6j3MV00Th0QpqSEUYAmmyz,black metal,black metal; dark metal,300,2026-09-22 audit: Lighthouse / New England Folk Tales | https://lighthouseofficial.bandcamp.com/track/1692,
lead_artist_id,4nqmTWHyNzL8LqwSwoRmuZ,hardcore punk,hardcore punk; metallic hardcore,200,2026-09-22 audit: Southpaw FLHC / * | https://www.spinefarmrecords.com/586/artists/southpaw-flhc,
track_id,2UTpZhFg9tnzChSHHcoqBq,soundtrack,soundtrack; folk; electronic,300,2026-09-22 audit: Baba Yaga Team / Василиса | https://open.spotify.com/embed/album/1cXqKRLOUWJ9DUvZnIwaMt,
lead_artist_id,5hoptaRu8ODzliYbFfCsPA,black metal,black metal; psychedelic rock,200,2026-09-22 audit: Negative Plane / * | https://www.chroniclesofchaos.com/articles.aspx?id=2-6286,
track_id,3oRuCzqdduzZ2CBhAtv8zO,modern classical,modern classical; ambient,300,"2026-09-22 audit: Luke Howard / Sun, Cloud | https://www.lukehoward.com/music/solo/",
track_id,7g9qFFo27ppws6o2cVVBvz,gothic black metal,gothic black metal; black metal; doom metal; pagan metal,300,2026-09-22 audit: Soulgrind / Ad Pulchram Mortem | https://soulgrind.bandcamp.com/album/ad-pulchram-mortem,
lead_artist_id,4WVPxlxGHpV5kPwr0WmDkN,speed metal,speed metal; thrash metal,200,2026-09-22 audit: Speedslut / * | https://speedslut.bandcamp.com/album/cimbrian-rites,
track_id,23kjPqyALlZVJ7TEpKnYhx,synthpop,synthpop; electronic; art pop,300,2026-09-22 audit: Ulver / The Assassination of Julius Caesar | https://ulver.bandcamp.com/album/the-assassination-of-julius-caesar,
track_id,3ws6pM9Yv57MVZxcj5i7mJ,synthpop,synthpop; electronic; art pop,300,2026-09-22 audit: Ulver / The Assassination of Julius Caesar | https://ulver.bandcamp.com/album/the-assassination-of-julius-caesar,
track_id,4qpIOuAJ2MjYTOnrFSQti8,synthpop,synthpop; electronic; art pop,300,2026-09-22 audit: Ulver / The Assassination of Julius Caesar | https://ulver.bandcamp.com/album/the-assassination-of-julius-caesar,
track_id,5MKTAR6n1OcpLSK4uKSOQJ,synthpop,synthpop; electronic; art pop,300,2026-09-22 audit: Ulver / The Assassination of Julius Caesar | https://ulver.bandcamp.com/album/the-assassination-of-julius-caesar,
track_id,5bu0yhV03nzMrjsqOfHgAF,synthpop,synthpop; electronic; art pop,300,2026-09-22 audit: Ulver / The Assassination of Julius Caesar | https://ulver.bandcamp.com/album/the-assassination-of-julius-caesar,
track_id,6dascGYKBt7QV3j0EqUgbZ,synthpop,synthpop; electronic; art pop,300,2026-09-22 audit: Ulver / The Assassination of Julius Caesar | https://ulver.bandcamp.com/album/the-assassination-of-julius-caesar,
track_id,5KY4Km7rllwWovNNU8hhPt,synthpop,synthpop; electronic; art rock,300,2026-09-22 audit: Ulver / Flowers of Evil | https://ulver.bandcamp.com/album/flowers-of-evil,
track_id,4y8GmSvRn26bR7TTp4qhWW,alternative rock,alternative rock; folk,300,2026-09-22 audit: Chelsea Wolfe / Cold | https://chelseawolfe.bandcamp.com/album/the-dark,
track_id,2FcdtGhl7pOdRdlIMKHSPF,alternative rock,alternative rock; folk,300,2026-09-22 audit: Chelsea Wolfe / The Dark | https://chelseawolfe.bandcamp.com/album/the-dark,
track_id,0SnqtELl1vwb3xytPxfso3,soul,soul; psychedelic soul,300,2026-09-22 audit: Curtis Harding / Face Your Fear | https://curtisharding.bandcamp.com/album/face-your-fear,
track_id,0fp8XEUc9Yxxd1Ago0VgyA,funk,funk; soul,300,2026-09-22 audit: Maceo And The Macks / Funky Good Time | https://en.wikipedia.org/wiki/Cross_the_Track_(We_Better_Go_Back),
track_id,25rmulFJwUrYY2C5SGuTTS,industrial metal,industrial metal; industrial punk,300,2026-09-22 audit: Lard / The Last Temptation of Reid | https://alternativetentacles.com/products/the-last-temptation-of-reid,
track_id,3eRhhZJCbpwJ4vVnu6wkYa,witch house,witch house; darkwave; electronic,300,2026-09-22 audit: SIVERNOT / Меланхолия | https://untitledburial.bandcamp.com/album/--3,
track_id,2QslhSobUJwOWQnvyIpyef,ambient,ambient; electronic,300,2026-09-22 audit: Klaus Schulze / The Dark Side of the Moog | https://www.allmusic.com/album/dark-side-of-the-moog-9-mw0001268280,
track_id,34Hhq6GATWK9TAVlH1W1vm,metal,metal,300,2026-09-22 audit: Begotten / Buried | https://music.apple.com/us/artist/begotten/930409747,
track_id,6cHrPKckZAZ0o3jQrKs2hB,black punk metal,black punk metal; speed metal; hardcore punk,300,2026-09-22 audit: Zorn / Return to Castle Death | https://sorrystaterecords.bandcamp.com/album/return-to-castle-death,
track_id,3RqSumsXLQC1JhCKGhUQZt,black metal,black metal,300,2026-09-22 audit: Avolia / Falls Upon The Earth | https://music.apple.com/us/album/falls-upon-the-earth/1790740141 | https://strahmusic.com/artist/avolia/,
track_id,2L32tvX6I73xToPvqFMi9k,rock,rock,300,2026-09-22 audit: Amber Creek / Don't Run Away | https://music.apple.com/us/artist/amber-creek/1441222160,
track_id,5ghjITRLO7yAGefZQFxoHZ,gothic doom metal,gothic doom metal; death metal; black metal,300,2026-09-22 audit: KASPARIAN / UNDER THE SIBERIAN STARS | https://www.castlerock.ru/rockblog/novosti-roka/znakomimsya-s-proektom-kasparian/,
track_id,2tmXjm8eTpr4DlczGw8FL7,progressive black metal,progressive black metal,300,2026-09-22 audit: U.K.Ć. / Coming Out - Love & Hate Diaries | https://theogoniarecords.bandcamp.com/album/coming-out-love-hate-diaries,
track_id,3dVSAiXRkETggzsxDYgh9J,rock,rock,300,2026-09-22 audit: Fred de Boer / The Now Pantheon | https://www.shazam.com/artist/fred-de-boer/1832183758,
track_id,0WZejGb0ftnSgYJ6lq6N7J,pop rock,pop rock,300,2026-09-22 audit: I AM NOT AFRAID ANYMORE / Ive hurt | https://mediatheques.agglo-larochelle.fr/doc/MUSICME/oai-1301588820-9815/ive-hurt-for-so-long-but-im-still-here (broad Pop/Rock catalog category; exact subgenre unverified),
track_id,769XQEGGDPXFxoXFwzcFkf,folk,folk; brass band,300,2026-09-22 audit: Banda Peña Kali / Banda Peña Kali | https://bandapenakali.fr/ (traditional southwestern French/Basque festive brass repertoire),
track_id,4YWZLoV31cFndKj9Hd39zy,folk,folk; country,300,2026-09-22 audit: Amenra / Songs of Townes Van Zandt | https://www.qobuz.com/gb-en/album/black-crow-blues-amenra/lagb7x1dxscvb | https://myproudmountain.bandcamp.com/track/amenra-black-crow-blues,
track_id,0Fs7jajFWWfBcC4Mox3m7p,folk,folk; acoustic rock,300,2026-09-22 audit: Chelsea Wolfe / Birth of Violence | https://chelseawolfe.bandcamp.com/album/birth-of-violence,
track_id,2UALJFCBhcFuknbnbOrN7E,folk,folk; acoustic rock,300,2026-09-22 audit: Chelsea Wolfe / Sing Songs Together | https://chelseawolfe.bandcamp.com/track/fight-like-gods,
track_id,4qGchgaW78B1Z9kmF9lt2w,folk,folk; acoustic rock,300,2026-09-22 audit: Chelsea Wolfe / Anhedonia | https://chelseawolfe.bandcamp.com/track/anhedonia-feat-emma-ruth-rundle,
track_id,4xTLNgK0TlFqEiHWaD3oIn,industrial metal,industrial metal,300,2026-09-22 audit: Bong-Ra / Cold World | https://bong-ra.bandcamp.com/track/cold-world-godflesh (review confirmed this recording; artist also has a breakcore catalog),
track_id,1T3a3zqx9cSw9IOKB0505T,black metal,black metal,300,2026-09-22 audit: Impious Vesper / Memoria Mortuorum | https://open.spotify.com/artist/5cR0BwrbCX84C3pevW0YZO | https://www.metal-archives.com/bands/Impious_Vesper/3540464307 (the Italian quartet; not the Swedish band Impious),
track_id,4G2ghZczj9HjGvUTEpn62d,acid jazz,acid jazz; electronica; trip hop,300,2026-09-22 audit: Red Snapper / Prince Blimey | https://www.allmusic.com/album/prince-blimey-mw0000968323 | https://warprecords.bandcamp.com/track/crusoe-takes-a-trip,
track_id,76nPiuy1rkMFQqWDFaScP4,soundtrack,soundtrack; gothic rock,300,2026-09-22 audit: Chelsea Wolfe / Oui Oui Marie | https://shop.a24films.com/products/x-original-motion-picture-soundtrack | https://www.thefader.com/2022/03/11/-chelsea-wolfe-x-score-a24-oui-oui-marie (gothic ballad cover for the film X),
track_id,1Yg1pftEFPMsATyNfkuGYX,electronic,electronic,300,2026-09-22 audit: heks / Protestantisk Fanatiker | https://distrokid.com/hyperfollow/heks3/protestantisk-fanatiker-london-fields-darkwave | https://voicesoftheainur.bandcamp.com/album/vota-161-heksej-ger (broad family retained for the Darkwave version; removed tags inherited from another Heks),
lead_artist_id,5HCmYx7K5dk5s2iPBVqsov,epic doom metal,epic doom metal,200,2026-09-22 audit: Fvneral Fvkk / * | https://musicbrainz.org/artist/f89bf83b-2942-4b5a-8090-75ec56ed77f4,
lead_artist_id,3mJCmX2022lM57gZGfiX3N,black thrash metal,black thrash metal,200,2026-09-22 audit: Gallower / * | https://musicbrainz.org/artist/fb454573-99c6-4fcd-88dc-390ee80b49e5,
lead_artist_id,4NRQBSmWmKRsqDbNdGeSbb,dungeon synth,dungeon synth,200,2026-09-22 audit: Paths of the Eternal / * | https://musicbrainz.org/artist/e408326f-f6ff-41f6-aa33-2ab37419c025,
lead_artist_id,1lr16k61dxeMTMkwMjg4k8,dungeon synth,dungeon synth,200,2026-09-22 audit: Radagast / * | https://musicbrainz.org/artist/6d3b817c-829f-44f9-b3ee-9bb33613db8f,
lead_artist_id,5lqyPWmAivV75tII5Vxpet,atmospheric black metal,atmospheric black metal,200,2026-09-22 audit: Wolves In The Throne Room / * | https://musicbrainz.org/artist/e9452446-7702-4853-96ce-5dfe6748d3fb,
track_id,6BmP6002CTrzUs4IpTKkir,jazz fusion,jazz fusion; electronic rock; electronic,300,2026-09-22 audit: Doug Spears / Shattered | https://dougspears.bandcamp.com/track/shattered-3 (artist tags electronic; electric fusion; electric rock; fusion music) | https://music.apple.com/us/album/shattered/1778768671 (Fusion catalog category; same 295728 ms recording; another catalog edition is broadly tagged New Age),
track_id,6wllY4h6leMu11I15Rp9OS,,,300,2026-09-22 review hold: Blacko Bandito | public Spotify recording/profile confirmed; no reliable recording genre found; legacy MusicBrainz match Blacko rejected | https://open.spotify.com/track/6wllY4h6leMu11I15Rp9OS | https://open.spotify.com/artist/1ZcU46lAYmyhZ7kbUnbazE | preserve raw labels but exclude them from genre statistics until evidence supports a replacement,unverified
track_id,6XnBQsit5gKELfjliuJonX,,,300,2026-09-22 review hold: Con Tó Music | public Spotify recording/profile confirmed; no reliable recording genre found; legacy MusicBrainz match Various Artists rejected | https://open.spotify.com/track/6XnBQsit5gKELfjliuJonX | https://open.spotify.com/artist/3xJISWM0IlVHtLkzDgQ6R5 | preserve raw labels but exclude them from genre statistics until evidence supports a replacement,unverified
track_id,7jtvuEmzCbbtsajBL1SOyS,,,300,2026-09-22 review hold: Hayden Bacon | public Spotify recording/profile confirmed; no reliable recording genre found; legacy MusicBrainz match Hayden rejected | https://open.spotify.com/track/7jtvuEmzCbbtsajBL1SOyS | https://open.spotify.com/artist/7JEB70mitODzHpAv5vuOJQ | preserve raw labels but exclude them from genre statistics until evidence supports a replacement,unverified
album_id,4FmI0F5GvvR1M9RURWnJV9,progressive rock,progressive rock,300,2026-09-22 release audit: Opeth / Damnation | Release-specific progressive-rock period; remove death-metal artist-default tags | https://shop.nuclearblast.com/collections/opeth,
album_id,2bVYeA0BEb0Rtj94ECaahK,progressive rock,progressive rock,300,2026-09-22 release audit: Opeth / Heritage (Special Edition) | Release-specific progressive-rock period; remove death-metal artist-default tags | https://shop.nuclearblast.com/collections/opeth,
album_id,0DLImjuzdrOBQKtYLlf3C5,progressive rock,progressive rock,300,2026-09-22 release audit: Opeth / Pale Communion | Release-specific progressive-rock period; remove death-metal artist-default tags | https://shop.nuclearblast.com/collections/opeth,
track_id,5mY8mY7DSfuqVbY2psq3Cg,progressive rock,progressive rock; hard rock,310,2026-09-22 release audit: Opeth / Sorceress (Sorceress) | Title track from the progressive-rock album; no death-metal default | https://en.wikipedia.org/wiki/Sorceress_(Opeth_album),
track_id,0fBPwRmfNmOdpNcxOoli9Q,acoustic rock,acoustic rock; progressive rock,310,2026-09-22 release audit: Opeth / Harvest (Blackwater Park) | Harvest is the acoustic ballad exception on Blackwater Park | https://www.loudersound.com/features/opeth-band-history-interview-2012,
track_id,3HLMacwudGsPVWfMoCxt3P,acoustic rock,acoustic rock; progressive rock,310,"2026-09-22 release audit: Opeth / Madrigal (My Arms, Your Hearse) | Acoustic interlude/ballad exception within a metal album; broad acoustic-rock label | https://www.metal-archives.com/reviews/Opeth/My_Arms%2C_Your_Hearse/140/ | https://www.seaoftranquility.org/reviews.php?id=3425&op=showcontent",
track_id,1I98CzExh9HtZjt3Akz1q4,acoustic rock,acoustic rock; progressive rock,310,"2026-09-22 release audit: Opeth / Credence (My Arms, Your Hearse) | Acoustic interlude/ballad exception within a metal album; broad acoustic-rock label | https://www.metal-archives.com/reviews/Opeth/My_Arms%2C_Your_Hearse/140/ | https://www.seaoftranquility.org/reviews.php?id=3425&op=showcontent",
track_id,2YFBPyaL3r6aCtB4zNM4oW,progressive rock,progressive rock,310,"2026-09-22 release audit: Opeth / Windowpane (The Roundhouse Tapes) | Live rendition of the Damnation composition; broad progressive-rock label, not a claim about the entire live album | https://shop.nuclearblast.com/collections/opeth",
track_id,0QKePbwi7LoHpfQfKLSmYa,hard rock,hard rock,310,"2026-09-22 release audit: Sun Dont Shine / Coming Down (Coming Down) | Official identity and hard-rock description; former EYE AM, not a shoegaze namesake | https://sundontshineband.com/",
track_id,4TJvON3l2YCajvz2qRJqq2,acoustic rock,acoustic rock,310,"2026-09-22 release audit: Swallow The Sun / 66,50'N,28,40'E (Songs from the North I, II & III) | Disc II is the acoustic part; rule deliberately does not cover metal discs I and III | https://centurymedia.bandcamp.com/album/songs-from-the-north-i-ii-iii",
track_id,0NogO7yZ7zigIOplvtT15O,acoustic rock,acoustic rock,310,"2026-09-22 release audit: Swallow The Sun / Before the Summer Dies (Songs from the North I, II & III) | Disc II is the acoustic part; rule deliberately does not cover metal discs I and III | https://centurymedia.bandcamp.com/album/songs-from-the-north-i-ii-iii",
track_id,5eJ0DG8hnSZkSixPVQvNDl,atmospheric rock,atmospheric rock; alternative rock,310,2026-09-22 release audit: The Gathering / Saturnine (If_then_else) | Saturnine belongs to the atmospheric/electro-influenced rock period; remove early gothic/doom-metal defaults | https://centurymedia.bandcamp.com/album/if-then-else,
track_id,0ORryQQGPzNlomh9NK8kGP,post-rock,post-rock; alternative rock; progressive rock,310,2026-09-22 release audit: Liminal Sky; Ulver / A Solitary Future (All Tomorrow's Darkness) | Artist describes the release as post-rock; guest credit Ulver does not establish black metal | https://liminalskyband.bandcamp.com/album/all-tomorrows-darkness,
track_id,3UNCEvaaYCbIRgWMsXyjnz,experimental rock,experimental rock; electronic; psychedelic rock,310,2026-09-22 release audit: Ulver / Glammer Hammer (ATGCLVLSSCAP) | Artist describes improvised rock and electronic soundscapes | https://ulver.bandcamp.com/album/atgclvlsscap,
album_id,4KtV5xkPNeBKgcxa3veOV6,electronic,electronic; ambient; drone,300,"2026-09-22 release audit: Ulver / Hexahedron (Live at Henie Onstad Kunstsenter) | Electronic improvisation and ambient drone, not the early black-metal period | https://ulver.bandcamp.com/album/hexahedron-live-at-henie-onstad-kunstsenter | https://daily.bandcamp.com/lists/ulver-album-guide",
track_id,574MLPVscmDsoddVAnZnCV,synthpop,synthpop; electronic,310,2026-09-22 release audit: Ulver / A Fearful Symmetry (Hexahedron (Live at Henie Onstad Kunstsenter)) | Review explicitly identifies A Fearful Symmetry as the synthpop piece within Hexahedron | https://daily.bandcamp.com/lists/ulver-album-guide,
track_id,4S2VhqDf0gmvgxRIGYvi4j,ambient,ambient; electronic,310,2026-09-22 release audit: Ulver / Eos (Shadows of the Sun) | Ambient/electronic album-specific classification; remove black metal | https://ulver.bandcamp.com/album/shadows-of-the-sun | https://daily.bandcamp.com/lists/ulver-album-guide,
track_id,6au2fZwhT0a3j1Celi9A6Q,ambient,ambient; electronic; glitch,310,"2026-09-22 release audit: Ulver / Not Saved (Teachings in Silence) | Not Saved on the experimental ambient/glitch compilation, not early metal recordings | https://artrock.pl/recenzje/52199/ulver_teachings_in_silence.html | https://www.jester-records.com/ulver/ulver_catalogue.html",
track_id,5RAoyT13o2KEVM0n57mOFZ,electronic,electronic; idm; ambient,310,2026-09-22 release audit: Ulver / They're Coming! The Birds! (They're Coming! The Birds!) | Single included on Neverland; artist describes instrumental IDM/post-rock and ambient textures | https://ulver.bandcamp.com/track/theyre-coming-the-birds | https://ulver.bandcamp.com/album/neverland,
track_id,5KiR2KbifUOCkuzprZ65hG,synthpop,synthpop; electronic; art pop,310,"2026-09-22 release audit: Ulver; Nils Petter Molvær / Forgive Us (Forgive Us) | Liminal Animals single with Molvaer on trumpet; synthpop/art-pop period, not black metal | https://houseofmythology.com/storage/press-releases/271/Ulver-LiminalAnimals-PR.pdf | https://thesoundvault.info/p/ulver-forgive-us-feat-nils-petter",
track_id,3kElsqAAsXufjGoislH6nT,folk,folk; americana; bluegrass,310,2026-09-22 release audit: Panopticon / Tamarack's Gold Returns (Autumn Eternal) | Opening acoustic instrumental; metal tracks on the same album retain separate classifications | https://www.nocleansinging.com/2015/07/13/panopticon-autumn-eternal/ | https://thetruepanopticon.bandcamp.com/track/tamaracks-gold-returns,
